"(p,d,q)","(P,D,Q,m)",AIC
"(5, 2, 3)","(0, 0, 0, 0)",33117.2
"(5, 2, 5)","(0, 0, 0, 0)",33124.8
"(3, 2, 6)","(0, 0, 0, 0)",33128.2
"(6, 2, 5)","(0, 0, 0, 0)",33145.0
"(0, 2, 6)","(0, 0, 0, 0)",33148.1
"(3, 2, 5)","(0, 0, 0, 0)",33150.5
"(4, 2, 6)","(0, 0, 0, 0)",33161.3
"(6, 2, 6)","(0, 0, 0, 0)",33179.5
"(1, 2, 6)","(0, 0, 0, 0)",33189.6
"(0, 2, 5)","(0, 0, 0, 0)",33194.8
"(3, 2, 4)","(0, 0, 0, 0)",33239.6
"(2, 2, 3)","(0, 0, 0, 0)",33243.4
"(4, 2, 5)","(0, 0, 0, 0)",33247.6
"(5, 2, 6)","(0, 0, 0, 0)",33251.0
"(1, 2, 2)","(0, 0, 0, 0)",33257.9
"(2, 2, 6)","(0, 0, 0, 0)",33327.9
"(0, 2, 4)","(0, 0, 0, 0)",33332.7
"(1, 2, 5)","(0, 0, 0, 0)",33333.8
"(6, 2, 1)","(0, 0, 0, 0)",33382.8
"(5, 2, 1)","(0, 0, 0, 0)",33400.4
"(6, 2, 2)","(0, 0, 0, 0)",33404.3
"(4, 2, 1)","(0, 0, 0, 0)",33419.1
"(5, 2, 2)","(0, 0, 0, 0)",33423.1
"(6, 2, 3)","(0, 0, 0, 0)",33427.0
"(2, 2, 5)","(0, 0, 0, 0)",33434.1
"(0, 2, 3)","(0, 0, 0, 0)",33434.9
"(0, 2, 2)","(0, 0, 0, 0)",33435.8
"(2, 2, 4)","(0, 0, 0, 0)",33438.1
"(1, 2, 3)","(0, 0, 0, 0)",33438.5
"(1, 2, 4)","(0, 0, 0, 0)",33438.9
"(6, 2, 4)","(0, 0, 0, 0)",33441.3
"(4, 2, 2)","(0, 0, 0, 0)",33450.7
"(3, 2, 1)","(0, 0, 0, 0)",33451.9
"(2, 2, 1)","(0, 0, 0, 0)",33465.5
"(3, 2, 2)","(0, 0, 0, 0)",33468.9
"(4, 2, 3)","(0, 0, 0, 0)",33469.7
"(5, 2, 4)","(0, 0, 0, 0)",33470.6
"(4, 2, 4)","(0, 0, 0, 0)",33477.1
"(2, 2, 2)","(0, 0, 0, 0)",33485.3
"(1, 2, 1)","(0, 0, 0, 0)",33487.1
"(3, 2, 3)","(0, 0, 0, 0)",33491.7
"(0, 2, 1)","(0, 0, 0, 0)",33916.6
"(6, 2, 0)","(0, 0, 0, 0)",34037.1
"(5, 2, 0)","(0, 0, 0, 0)",34162.1
"(4, 2, 0)","(0, 0, 0, 0)",34281.1
"(3, 2, 0)","(0, 0, 0, 0)",34454.2
"(2, 2, 0)","(0, 0, 0, 0)",34676.9
"(1, 2, 0)","(0, 0, 0, 0)",35218.2
"(0, 2, 0)","(0, 0, 0, 0)",36876.8
