date,seasonal_naive_daily
2016-05-13 19:00:00,123.33333333333333
2016-05-13 20:00:00,100.0
2016-05-13 21:00:00,71.66666666666667
2016-05-13 22:00:00,60.0
2016-05-13 23:00:00,56.666666666666664
2016-05-14 00:00:00,55.0
2016-05-14 01:00:00,53.333333333333336
2016-05-14 02:00:00,58.333333333333336
2016-05-14 03:00:00,58.333333333333336
2016-05-14 04:00:00,50.0
2016-05-14 05:00:00,58.333333333333336
2016-05-14 06:00:00,146.66666666666666
2016-05-14 07:00:00,176.66666666666666
2016-05-14 08:00:00,338.3333333333333
2016-05-14 09:00:00,93.33333333333333
2016-05-14 10:00:00,73.33333333333333
2016-05-14 11:00:00,355.0
2016-05-14 12:00:00,301.6666666666667
2016-05-14 13:00:00,268.3333333333333
2016-05-14 14:00:00,318.3333333333333
2016-05-14 15:00:00,201.66666666666666
2016-05-14 16:00:00,351.6666666666667
2016-05-14 17:00:00,231.66666666666666
2016-05-14 18:00:00,348.3333333333333
2016-05-14 19:00:00,208.33333333333334
2016-05-14 20:00:00,120.0
2016-05-14 21:00:00,63.333333333333336
2016-05-14 22:00:00,55.0
2016-05-14 23:00:00,61.666666666666664
2016-05-15 00:00:00,58.333333333333336
2016-05-15 01:00:00,63.333333333333336
2016-05-15 02:00:00,60.0
2016-05-15 03:00:00,60.0
2016-05-15 04:00:00,60.0
2016-05-15 05:00:00,56.666666666666664
2016-05-15 06:00:00,63.333333333333336
2016-05-15 07:00:00,113.33333333333333
2016-05-15 08:00:00,133.33333333333334
2016-05-15 09:00:00,118.33333333333333
2016-05-15 10:00:00,158.33333333333334
2016-05-15 11:00:00,96.66666666666667
2016-05-15 12:00:00,116.66666666666667
2016-05-15 13:00:00,113.33333333333333
2016-05-15 14:00:00,106.66666666666667
2016-05-15 15:00:00,130.0
2016-05-15 16:00:00,111.66666666666667
2016-05-15 17:00:00,241.66666666666666
2016-05-15 18:00:00,166.66666666666666
2016-05-15 19:00:00,90.0
2016-05-15 20:00:00,86.66666666666667
2016-05-15 21:00:00,75.0
2016-05-15 22:00:00,61.666666666666664
2016-05-15 23:00:00,48.333333333333336
2016-05-16 00:00:00,53.333333333333336
2016-05-16 01:00:00,55.0
2016-05-16 02:00:00,51.666666666666664
2016-05-16 03:00:00,40.0
2016-05-16 04:00:00,51.666666666666664
2016-05-16 05:00:00,56.666666666666664
2016-05-16 06:00:00,51.666666666666664
2016-05-16 07:00:00,93.33333333333333
2016-05-16 08:00:00,118.33333333333333
2016-05-16 09:00:00,101.66666666666667
2016-05-16 10:00:00,108.33333333333333
2016-05-16 11:00:00,105.0
2016-05-16 12:00:00,96.66666666666667
2016-05-16 13:00:00,136.66666666666666
2016-05-16 14:00:00,88.33333333333333
2016-05-16 15:00:00,93.33333333333333
2016-05-16 16:00:00,143.33333333333334
