,feature_model_pastonly
2016-05-13 19:00:00,201.1166534423828
2016-05-13 20:00:00,197.57843017578125
2016-05-13 21:00:00,160.69287109375
2016-05-13 22:00:00,102.88243865966797
2016-05-13 23:00:00,66.97140502929688
2016-05-14 00:00:00,60.22352981567383
2016-05-14 01:00:00,56.95234298706055
2016-05-14 02:00:00,50.95924758911133
2016-05-14 03:00:00,50.97144317626953
2016-05-14 04:00:00,50.13561248779297
2016-05-14 05:00:00,51.826995849609375
2016-05-14 06:00:00,71.45399475097656
2016-05-14 07:00:00,113.07862854003906
2016-05-14 08:00:00,117.8619384765625
2016-05-14 09:00:00,148.65016174316406
2016-05-14 10:00:00,137.99209594726562
2016-05-14 11:00:00,152.21722412109375
2016-05-14 12:00:00,143.8081817626953
2016-05-14 13:00:00,143.72683715820312
2016-05-14 14:00:00,158.34375
2016-05-14 15:00:00,162.69659423828125
2016-05-14 16:00:00,144.0438690185547
2016-05-14 17:00:00,145.43307495117188
2016-05-14 18:00:00,214.14395141601562
2016-05-14 19:00:00,148.2213134765625
2016-05-14 20:00:00,112.65251159667969
2016-05-14 21:00:00,89.10546112060547
2016-05-14 22:00:00,68.5112533569336
2016-05-14 23:00:00,61.0390510559082
2016-05-15 00:00:00,57.86595153808594
2016-05-15 01:00:00,52.4626579284668
2016-05-15 02:00:00,53.47795104980469
2016-05-15 03:00:00,53.856475830078125
2016-05-15 04:00:00,52.671058654785156
2016-05-15 05:00:00,53.63363265991211
2016-05-15 06:00:00,65.10739135742188
2016-05-15 07:00:00,88.86605834960938
2016-05-15 08:00:00,151.2931671142578
2016-05-15 09:00:00,130.50869750976562
2016-05-15 10:00:00,170.52589416503906
2016-05-15 11:00:00,118.22840118408203
2016-05-15 12:00:00,137.80287170410156
2016-05-15 13:00:00,114.80522918701172
2016-05-15 14:00:00,127.8678970336914
2016-05-15 15:00:00,108.887939453125
2016-05-15 16:00:00,124.97724151611328
2016-05-15 17:00:00,150.79150390625
2016-05-15 18:00:00,197.49945068359375
2016-05-15 19:00:00,123.21803283691406
2016-05-15 20:00:00,104.89787292480469
2016-05-15 21:00:00,75.33354949951172
2016-05-15 22:00:00,64.8597640991211
2016-05-15 23:00:00,56.01442337036133
2016-05-16 00:00:00,56.00996017456055
2016-05-16 01:00:00,57.139991760253906
2016-05-16 02:00:00,56.628997802734375
2016-05-16 03:00:00,55.60783004760742
2016-05-16 04:00:00,57.62660598754883
2016-05-16 05:00:00,58.50640869140625
2016-05-16 06:00:00,61.6653938293457
2016-05-16 07:00:00,88.47940063476562
2016-05-16 08:00:00,114.64717864990234
2016-05-16 09:00:00,123.19947052001953
2016-05-16 10:00:00,132.16665649414062
2016-05-16 11:00:00,131.8887481689453
2016-05-16 12:00:00,127.01261901855469
2016-05-16 13:00:00,136.23236083984375
2016-05-16 14:00:00,115.0823745727539
2016-05-16 15:00:00,136.3320770263672
2016-05-16 16:00:00,131.56849670410156
2016-05-16 17:00:00,192.861083984375
2016-05-16 18:00:00,170.26174926757812
2016-05-16 19:00:00,133.96795654296875
2016-05-16 20:00:00,128.20603942871094
2016-05-16 21:00:00,104.490966796875
2016-05-16 22:00:00,80.07672119140625
2016-05-16 23:00:00,69.54539489746094
2016-05-17 00:00:00,60.2618293762207
2016-05-17 01:00:00,57.391780853271484
2016-05-17 02:00:00,51.12419891357422
2016-05-17 03:00:00,50.57551956176758
2016-05-17 04:00:00,51.16683578491211
2016-05-17 05:00:00,54.03363037109375
2016-05-17 06:00:00,56.65380859375
2016-05-17 07:00:00,64.97848510742188
2016-05-17 08:00:00,83.7442855834961
2016-05-17 09:00:00,97.63651275634766
2016-05-17 10:00:00,104.45205688476562
2016-05-17 11:00:00,112.35430145263672
2016-05-17 12:00:00,111.70853424072266
2016-05-17 13:00:00,125.88165283203125
2016-05-17 14:00:00,111.94905853271484
2016-05-17 15:00:00,109.45240020751953
2016-05-17 16:00:00,113.56786346435547
2016-05-17 17:00:00,158.5709991455078
2016-05-17 18:00:00,192.3689422607422
