date,mean,lower Appliances,upper Appliances
2016-05-13 19:00:00,220.70989636405685,100.19730150554443,341.22249122256926
2016-05-13 20:00:00,185.18312270238104,56.76684874257509,313.599396662187
2016-05-13 21:00:00,135.47138935514948,-0.06460742115632456,271.0073861314553
2016-05-13 22:00:00,94.93581169013237,-43.730143593799,233.60176697406374
2016-05-13 23:00:00,72.14219912832478,-67.93684790083624,212.22124615748578
2016-05-14 00:00:00,62.571763076095316,-78.1557201710971,203.29924632328775
2016-05-14 01:00:00,56.72475123172669,-84.30459593478614,197.7540983982395
2016-05-14 02:00:00,51.96094283476263,-89.21128171041478,193.13316737994006
2016-05-14 03:00:00,49.18778892156895,-92.0535317897584,190.4291096328963
2016-05-14 04:00:00,48.48660998683788,-92.78909436577653,189.7623143394523
2016-05-14 05:00:00,50.94982533386366,-90.34364126946551,192.24329193719282
2016-05-14 06:00:00,60.41139133226993,-80.89169703220331,201.71447969674318
2016-05-14 07:00:00,81.54313525090916,-59.76547574310504,222.85174624492336
2016-05-14 08:00:00,116.02749996670855,-25.284503113045787,257.3395030464629
2016-05-14 09:00:00,108.45257462764329,-32.86167724291454,249.7668264982011
2016-05-14 10:00:00,118.19264265791315,-23.12322887280021,259.5085141886265
2016-05-14 11:00:00,140.46518727687555,-0.8519554300260381,281.7823299837771
2016-05-14 12:00:00,130.77027642178967,-10.54794996283536,272.0885028064147
2016-05-14 13:00:00,129.08741965320968,-12.231796470635857,270.4066357770552
2016-05-14 14:00:00,117.31767851213158,-24.002476177922944,258.63783320218613
2016-05-14 15:00:00,107.62334116366232,-33.697678630734785,248.9443609580594
2016-05-14 16:00:00,126.66945053970039,-14.652383483127323,267.9912845625281
2016-05-14 17:00:00,156.84873865481066,15.527785499710376,298.16969180991094
2016-05-14 18:00:00,200.9109208257904,59.58942038168368,342.23242126989715
