date,foundation_model
2016-05-13 19:00:00,147.57378
2016-05-13 20:00:00,109.84118
2016-05-13 21:00:00,77.57862
2016-05-13 22:00:00,62.911682
2016-05-13 23:00:00,57.007668
2016-05-14 00:00:00,55.389503
2016-05-14 01:00:00,54.986927
2016-05-14 02:00:00,53.650803
2016-05-14 03:00:00,53.600666
2016-05-14 04:00:00,52.55178
2016-05-14 05:00:00,53.18195
2016-05-14 06:00:00,56.06194
2016-05-14 07:00:00,84.46196
2016-05-14 08:00:00,134.96332
2016-05-14 09:00:00,171.62581
2016-05-14 10:00:00,195.59021
2016-05-14 11:00:00,211.63235
2016-05-14 12:00:00,188.67145
2016-05-14 13:00:00,170.93253
2016-05-14 14:00:00,140.74905
2016-05-14 15:00:00,135.91821
2016-05-14 16:00:00,153.19417
2016-05-14 17:00:00,166.54126
2016-05-14 18:00:00,151.492
2016-05-14 19:00:00,116.720024
2016-05-14 20:00:00,98.381165
2016-05-14 21:00:00,76.78308
2016-05-14 22:00:00,65.4949
2016-05-14 23:00:00,61.395473
2016-05-15 00:00:00,59.926033
2016-05-15 01:00:00,59.48017
2016-05-15 02:00:00,59.198883
2016-05-15 03:00:00,57.085102
2016-05-15 04:00:00,56.86341
2016-05-15 05:00:00,57.25381
2016-05-15 06:00:00,60.767845
2016-05-15 07:00:00,76.82203
2016-05-15 08:00:00,101.62989
2016-05-15 09:00:00,107.228226
2016-05-15 10:00:00,105.56695
2016-05-15 11:00:00,84.4471
2016-05-15 12:00:00,79.91912
2016-05-15 13:00:00,76.20558
2016-05-15 14:00:00,78.92988
2016-05-15 15:00:00,79.25612
2016-05-15 16:00:00,94.17615
2016-05-15 17:00:00,150.05432
2016-05-15 18:00:00,139.3553
2016-05-15 19:00:00,99.72301
2016-05-15 20:00:00,89.378426
2016-05-15 21:00:00,70.57977
2016-05-15 22:00:00,61.022816
2016-05-15 23:00:00,57.57888
2016-05-16 00:00:00,56.494034
2016-05-16 01:00:00,56.245792
2016-05-16 02:00:00,55.37974
2016-05-16 03:00:00,53.96634
2016-05-16 04:00:00,54.103497
2016-05-16 05:00:00,60.386147
2016-05-16 06:00:00,61.757362
2016-05-16 07:00:00,70.19523
2016-05-16 08:00:00,69.39523
2016-05-16 09:00:00,63.76286
2016-05-16 10:00:00,65.593056
2016-05-16 11:00:00,66.90599
2016-05-16 12:00:00,68.91456
2016-05-16 13:00:00,71.10007
2016-05-16 14:00:00,72.98173
2016-05-16 15:00:00,74.29359
2016-05-16 16:00:00,88.75456
2016-05-16 17:00:00,173.53148
2016-05-16 18:00:00,129.75511
2016-05-16 19:00:00,118.75692
2016-05-16 20:00:00,105.087616
2016-05-16 21:00:00,75.09044
2016-05-16 22:00:00,63.56753
2016-05-16 23:00:00,58.610313
2016-05-17 00:00:00,56.25357
2016-05-17 01:00:00,54.601692
2016-05-17 02:00:00,55.25719
2016-05-17 03:00:00,53.337173
2016-05-17 04:00:00,53.521122
2016-05-17 05:00:00,62.144135
2016-05-17 06:00:00,64.82904
2016-05-17 07:00:00,69.75471
2016-05-17 08:00:00,66.38314
2016-05-17 09:00:00,57.883987
2016-05-17 10:00:00,58.444614
2016-05-17 11:00:00,57.873867
2016-05-17 12:00:00,60.40736
2016-05-17 13:00:00,62.377983
2016-05-17 14:00:00,62.015156
2016-05-17 15:00:00,62.26098
2016-05-17 16:00:00,79.13418
2016-05-17 17:00:00,181.07898
2016-05-17 18:00:00,144.22781
2016-05-17 19:00:00,102.59525
2016-05-17 20:00:00,90.694046
2016-05-17 21:00:00,63.808628
2016-05-17 22:00:00,56.00789
2016-05-17 23:00:00,53.728558
2016-05-18 00:00:00,53.469883
2016-05-18 01:00:00,53.309902
2016-05-18 02:00:00,53.31908
2016-05-18 03:00:00,51.61153
2016-05-18 04:00:00,51.81675
2016-05-18 05:00:00,59.01005
2016-05-18 06:00:00,69.93234
2016-05-18 07:00:00,73.17615
2016-05-18 08:00:00,72.219376
2016-05-18 09:00:00,63.879738
2016-05-18 10:00:00,63.558018
2016-05-18 11:00:00,61.00765
2016-05-18 12:00:00,61.58868
2016-05-18 13:00:00,65.23181
2016-05-18 14:00:00,68.35376
2016-05-18 15:00:00,68.79092
2016-05-18 16:00:00,79.113106
2016-05-18 17:00:00,139.10513
2016-05-18 18:00:00,131.8118
2016-05-18 19:00:00,116.82387
2016-05-18 20:00:00,97.715836
2016-05-18 21:00:00,65.490456
2016-05-18 22:00:00,57.00274
2016-05-18 23:00:00,55.520847
2016-05-19 00:00:00,54.2722
2016-05-19 01:00:00,54.754124
2016-05-19 02:00:00,54.779133
