date,sarimax
2016-05-13 19:00:00,223.3825129782952
2016-05-13 20:00:00,188.47124179542038
2016-05-13 21:00:00,140.1618289519006
2016-05-13 22:00:00,102.75041887595226
2016-05-13 23:00:00,82.5722173128329
2016-05-14 00:00:00,70.87944323341006
2016-05-14 01:00:00,61.97115141550122
2016-05-14 02:00:00,55.677783490497845
2016-05-14 03:00:00,51.82553610972206
2016-05-14 04:00:00,53.298060980802525
2016-05-14 05:00:00,56.331805794823964
2016-05-14 06:00:00,65.1106540691082
2016-05-14 07:00:00,86.7457625988725
2016-05-14 08:00:00,121.12061609528794
2016-05-14 09:00:00,113.49159926852228
2016-05-14 10:00:00,123.71127314840436
2016-05-14 11:00:00,145.49619817720466
2016-05-14 12:00:00,137.5901876281416
2016-05-14 13:00:00,136.73509035539894
2016-05-14 14:00:00,125.49856425715704
2016-05-14 15:00:00,116.6470186385305
2016-05-14 16:00:00,134.24196567492982
2016-05-14 17:00:00,165.63227095657248
2016-05-14 18:00:00,210.46924026797709
2016-05-14 19:00:00,154.98138228011993
2016-05-14 20:00:00,123.99499743158572
2016-05-14 21:00:00,95.06150537382197
2016-05-14 22:00:00,68.5172453520052
2016-05-14 23:00:00,54.79551004622466
2016-05-15 00:00:00,51.95961452300255
2016-05-15 01:00:00,52.79215106563671
2016-05-15 02:00:00,50.9478510777472
2016-05-15 03:00:00,50.50750295553085
2016-05-15 04:00:00,51.71472316358419
2016-05-15 05:00:00,54.37575479831852
2016-05-15 06:00:00,60.14815201347145
2016-05-15 07:00:00,82.04037625299576
2016-05-15 08:00:00,109.64392734772522
2016-05-15 09:00:00,114.7314210529988
2016-05-15 10:00:00,126.91655802202632
2016-05-15 11:00:00,129.70688699103084
2016-05-15 12:00:00,124.82979924492442
2016-05-15 13:00:00,123.93663507277421
2016-05-15 14:00:00,107.62558618967299
2016-05-15 15:00:00,104.39917576361375
2016-05-15 16:00:00,113.41902311953416
2016-05-15 17:00:00,157.3199838673174
2016-05-15 18:00:00,191.70195738973337
2016-05-15 19:00:00,127.67307369715645
