,feature_model
2016-05-13 19:00:00,196.82977294921875
2016-05-13 20:00:00,184.79119873046875
2016-05-13 21:00:00,164.09268188476562
2016-05-13 22:00:00,65.38744354248047
2016-05-13 23:00:00,53.69762420654297
2016-05-14 00:00:00,67.10237884521484
2016-05-14 01:00:00,67.18622589111328
2016-05-14 02:00:00,67.3360366821289
2016-05-14 03:00:00,68.25467681884766
2016-05-14 04:00:00,70.92546081542969
2016-05-14 05:00:00,79.11973571777344
2016-05-14 06:00:00,104.10887908935547
2016-05-14 07:00:00,145.9754638671875
2016-05-14 08:00:00,150.3092803955078
2016-05-14 09:00:00,146.7882537841797
2016-05-14 10:00:00,133.9338836669922
2016-05-14 11:00:00,132.1200408935547
2016-05-14 12:00:00,149.45285034179688
2016-05-14 13:00:00,136.50254821777344
2016-05-14 14:00:00,139.88816833496094
2016-05-14 15:00:00,127.84379577636719
2016-05-14 16:00:00,145.2890625
2016-05-14 17:00:00,166.36163330078125
2016-05-14 18:00:00,210.91970825195312
2016-05-14 19:00:00,155.1473846435547
2016-05-14 20:00:00,118.81776428222656
2016-05-14 21:00:00,81.28280639648438
2016-05-14 22:00:00,62.35231399536133
2016-05-14 23:00:00,59.45816421508789
2016-05-15 00:00:00,54.437782287597656
2016-05-15 01:00:00,52.744197845458984
2016-05-15 02:00:00,53.615116119384766
2016-05-15 03:00:00,52.22950744628906
2016-05-15 04:00:00,52.33990478515625
2016-05-15 05:00:00,56.429039001464844
2016-05-15 06:00:00,70.35759735107422
2016-05-15 07:00:00,112.57913970947266
2016-05-15 08:00:00,133.18063354492188
2016-05-15 09:00:00,155.45248413085938
2016-05-15 10:00:00,159.39321899414062
2016-05-15 11:00:00,139.3790740966797
2016-05-15 12:00:00,117.16294860839844
2016-05-15 13:00:00,124.5037841796875
2016-05-15 14:00:00,109.86405944824219
2016-05-15 15:00:00,120.40796661376953
2016-05-15 16:00:00,186.97703552246094
2016-05-15 17:00:00,227.67002868652344
2016-05-15 18:00:00,229.59368896484375
2016-05-15 19:00:00,120.66136169433594
2016-05-15 20:00:00,104.91349029541016
2016-05-15 21:00:00,72.04550170898438
2016-05-15 22:00:00,55.92178726196289
2016-05-15 23:00:00,50.99992370605469
2016-05-16 00:00:00,55.214317321777344
2016-05-16 01:00:00,53.12797546386719
2016-05-16 02:00:00,55.59018325805664
2016-05-16 03:00:00,53.789554595947266
2016-05-16 04:00:00,53.64979934692383
2016-05-16 05:00:00,60.14533233642578
2016-05-16 06:00:00,68.01385498046875
2016-05-16 07:00:00,98.56304168701172
2016-05-16 08:00:00,116.70751953125
2016-05-16 09:00:00,142.22128295898438
2016-05-16 10:00:00,170.79774475097656
2016-05-16 11:00:00,148.5196075439453
2016-05-16 12:00:00,132.9637451171875
2016-05-16 13:00:00,144.6837158203125
2016-05-16 14:00:00,115.77960205078125
2016-05-16 15:00:00,111.64595031738281
2016-05-16 16:00:00,118.06657409667969
2016-05-16 17:00:00,178.6763458251953
2016-05-16 18:00:00,147.81582641601562
2016-05-16 19:00:00,120.75920867919922
2016-05-16 20:00:00,121.27621459960938
2016-05-16 21:00:00,97.08749389648438
2016-05-16 22:00:00,80.8950424194336
2016-05-16 23:00:00,74.2416000366211
2016-05-17 00:00:00,59.64364242553711
2016-05-17 01:00:00,55.72101593017578
2016-05-17 02:00:00,52.685176849365234
2016-05-17 03:00:00,52.326416015625
2016-05-17 04:00:00,52.675350189208984
2016-05-17 05:00:00,63.41334915161133
2016-05-17 06:00:00,63.022300720214844
2016-05-17 07:00:00,72.71566009521484
2016-05-17 08:00:00,91.1015396118164
2016-05-17 09:00:00,87.7384033203125
2016-05-17 10:00:00,92.09491729736328
2016-05-17 11:00:00,84.8302001953125
2016-05-17 12:00:00,91.4957275390625
2016-05-17 13:00:00,92.84785461425781
2016-05-17 14:00:00,89.56748962402344
2016-05-17 15:00:00,89.7714614868164
2016-05-17 16:00:00,98.53042602539062
2016-05-17 17:00:00,161.39175415039062
2016-05-17 18:00:00,180.465576171875
2016-05-17 19:00:00,113.22505950927734
2016-05-17 20:00:00,90.64344024658203
2016-05-17 21:00:00,80.48424530029297
2016-05-17 22:00:00,63.47518539428711
2016-05-17 23:00:00,59.123783111572266
2016-05-18 00:00:00,60.031776428222656
2016-05-18 01:00:00,55.803775787353516
2016-05-18 02:00:00,51.51301574707031
2016-05-18 03:00:00,55.66992950439453
2016-05-18 04:00:00,51.607975006103516
2016-05-18 05:00:00,64.0826187133789
2016-05-18 06:00:00,72.06271362304688
2016-05-18 07:00:00,99.11943054199219
2016-05-18 08:00:00,120.88764953613281
2016-05-18 09:00:00,127.1349105834961
2016-05-18 10:00:00,131.54803466796875
2016-05-18 11:00:00,120.91426849365234
2016-05-18 12:00:00,140.83148193359375
2016-05-18 13:00:00,129.61495971679688
2016-05-18 14:00:00,138.08827209472656
2016-05-18 15:00:00,126.1208724975586
2016-05-18 16:00:00,122.544189453125
2016-05-18 17:00:00,186.64015197753906
2016-05-18 18:00:00,180.87222290039062
2016-05-18 19:00:00,168.224365234375
2016-05-18 20:00:00,120.0239486694336
2016-05-18 21:00:00,82.63202667236328
2016-05-18 22:00:00,58.10061264038086
2016-05-18 23:00:00,50.914737701416016
2016-05-19 00:00:00,52.37822723388672
2016-05-19 01:00:00,52.35914611816406
2016-05-19 02:00:00,53.31791305541992
2016-05-19 03:00:00,53.3194465637207
2016-05-19 04:00:00,52.664608001708984
2016-05-19 05:00:00,59.40391540527344
2016-05-19 06:00:00,60.085533142089844
2016-05-19 07:00:00,65.86372375488281
2016-05-19 08:00:00,71.55526733398438
2016-05-19 09:00:00,84.47607421875
2016-05-19 10:00:00,78.6688461303711
2016-05-19 11:00:00,79.93293762207031
2016-05-19 12:00:00,75.52484893798828
2016-05-19 13:00:00,87.925537109375
2016-05-19 14:00:00,87.92708587646484
2016-05-19 15:00:00,93.32539367675781
2016-05-19 16:00:00,101.07086181640625
2016-05-19 17:00:00,150.70034790039062
2016-05-19 18:00:00,197.55697631835938
2016-05-19 19:00:00,143.70700073242188
2016-05-19 20:00:00,116.09373474121094
2016-05-19 21:00:00,80.06503295898438
2016-05-19 22:00:00,60.25074768066406
2016-05-19 23:00:00,52.50889205932617
2016-05-20 00:00:00,51.47574996948242
2016-05-20 01:00:00,50.81040954589844
2016-05-20 02:00:00,52.8440055847168
2016-05-20 03:00:00,54.583683013916016
2016-05-20 04:00:00,53.262081146240234
2016-05-20 05:00:00,68.84635925292969
2016-05-20 06:00:00,110.0586929321289
2016-05-20 07:00:00,160.6430206298828
2016-05-20 08:00:00,217.80601501464844
2016-05-20 09:00:00,195.01222229003906
2016-05-20 10:00:00,169.90586853027344
2016-05-20 11:00:00,275.1032409667969
2016-05-20 12:00:00,219.29525756835938
2016-05-20 13:00:00,191.47055053710938
2016-05-20 14:00:00,212.1479034423828
2016-05-20 15:00:00,171.61639404296875
2016-05-20 16:00:00,200.23609924316406
2016-05-20 17:00:00,213.6800994873047
2016-05-20 18:00:00,226.3128204345703
2016-05-20 19:00:00,127.61331939697266
2016-05-20 20:00:00,115.85282897949219
2016-05-20 21:00:00,87.29398345947266
2016-05-20 22:00:00,64.51818084716797
2016-05-20 23:00:00,58.7828483581543
2016-05-21 00:00:00,56.706180572509766
2016-05-21 01:00:00,60.95165252685547
2016-05-21 02:00:00,59.047176361083984
2016-05-21 03:00:00,59.49906921386719
2016-05-21 04:00:00,61.90440368652344
2016-05-21 05:00:00,66.15167999267578
2016-05-21 06:00:00,82.01608276367188
2016-05-21 07:00:00,107.22124481201172
2016-05-21 08:00:00,127.92190551757812
2016-05-21 09:00:00,137.80628967285156
2016-05-21 10:00:00,149.67886352539062
2016-05-21 11:00:00,157.3070526123047
2016-05-21 12:00:00,155.2797088623047
2016-05-21 13:00:00,137.39508056640625
2016-05-21 14:00:00,115.38174438476562
2016-05-21 15:00:00,130.62255859375
2016-05-21 16:00:00,117.0614242553711
2016-05-21 17:00:00,147.53289794921875
2016-05-21 18:00:00,142.92144775390625
2016-05-21 19:00:00,130.95492553710938
2016-05-21 20:00:00,113.45108795166016
2016-05-21 21:00:00,80.11078643798828
2016-05-21 22:00:00,70.43060302734375
2016-05-21 23:00:00,70.33883666992188
2016-05-22 00:00:00,70.55103302001953
2016-05-22 01:00:00,73.45848083496094
2016-05-22 02:00:00,71.65876770019531
2016-05-22 03:00:00,77.39662170410156
2016-05-22 04:00:00,80.76188659667969
2016-05-22 05:00:00,88.51334381103516
2016-05-22 06:00:00,95.25994873046875
2016-05-22 07:00:00,112.59297943115234
2016-05-22 08:00:00,142.12289428710938
2016-05-22 09:00:00,168.2609405517578
2016-05-22 10:00:00,191.21974182128906
2016-05-22 11:00:00,208.41175842285156
2016-05-22 12:00:00,207.5277557373047
2016-05-22 13:00:00,188.7742462158203
2016-05-22 14:00:00,175.37246704101562
2016-05-22 15:00:00,177.06350708007812
2016-05-22 16:00:00,164.67906188964844
2016-05-22 17:00:00,166.063232421875
2016-05-22 18:00:00,166.7549591064453
2016-05-22 19:00:00,154.39144897460938
2016-05-22 20:00:00,162.0443572998047
2016-05-22 21:00:00,136.24314880371094
2016-05-22 22:00:00,101.03488159179688
