date,lower,upper
2016-05-13 19:00:00,85.27985,277.67584
2016-05-13 20:00:00,77.135315,185.23389
2016-05-13 21:00:00,62.750793,112.1007
2016-05-13 22:00:00,55.725376,74.50792
2016-05-13 23:00:00,51.62558,66.04099
2016-05-14 00:00:00,50.18041,62.95643
2016-05-14 01:00:00,49.598747,61.69163
2016-05-14 02:00:00,48.634396,61.318214
2016-05-14 03:00:00,48.304306,61.572945
2016-05-14 04:00:00,47.32875,62.141483
2016-05-14 05:00:00,47.541782,69.75763
2016-05-14 06:00:00,47.67396,93.77402
2016-05-14 07:00:00,51.21873,196.89517
2016-05-14 08:00:00,62.448997,329.2365
2016-05-14 09:00:00,67.14539,374.91705
2016-05-14 10:00:00,70.74655,386.6744
2016-05-14 11:00:00,77.819626,416.86545
2016-05-14 12:00:00,75.59586,399.91525
2016-05-14 13:00:00,69.605835,373.89816
2016-05-14 14:00:00,63.813065,346.12582
2016-05-14 15:00:00,63.072132,347.2859
2016-05-14 16:00:00,69.83803,379.93726
2016-05-14 17:00:00,71.68908,379.20868
2016-05-14 18:00:00,74.15569,336.75784
2016-05-14 19:00:00,86.88461,181.03842
2016-05-14 20:00:00,77.49923,138.57536
2016-05-14 21:00:00,64.25729,97.47552
2016-05-14 22:00:00,58.17984,78.70151
2016-05-14 23:00:00,54.44797,70.42716
2016-05-15 00:00:00,53.26338,67.07214
2016-05-15 01:00:00,53.139088,66.46188
2016-05-15 02:00:00,51.841663,65.783905
2016-05-15 03:00:00,51.096092,65.83183
2016-05-15 04:00:00,50.296936,66.5635
2016-05-15 05:00:00,50.235077,71.54281
2016-05-15 06:00:00,50.980034,89.23602
2016-05-15 07:00:00,54.53772,145.31688
2016-05-15 08:00:00,62.371376,225.5787
2016-05-15 09:00:00,60.914623,250.35391
2016-05-15 10:00:00,60.597702,269.65643
2016-05-15 11:00:00,57.83951,210.63345
2016-05-15 12:00:00,56.64557,194.45992
2016-05-15 13:00:00,56.5393,175.22403
2016-05-15 14:00:00,57.290344,177.88531
2016-05-15 15:00:00,57.331913,189.78345
2016-05-15 16:00:00,61.1121,226.0989
2016-05-15 17:00:00,76.89631,308.75565
2016-05-15 18:00:00,78.08294,280.88763
2016-05-15 19:00:00,76.00666,147.54358
2016-05-15 20:00:00,71.82428,119.638504
2016-05-15 21:00:00,60.351254,85.45913
2016-05-15 22:00:00,55.299427,71.19822
2016-05-15 23:00:00,52.492805,64.841125
